Temp,MaxTemp,MinTemp,LinkMargin,timestamp
6.4625,16.2162,0.8037,49,2016-10-08T07:45:43.164Z
6.3500,16.2162,0.8037,49,2016-10-08T07:45:13.578Z
6.3500,16.2162,0.8037,49,2016-10-08T07:44:43.879Z
6.3500,16.2162,0.8037,49,2016-10-08T07:44:13.174Z
6.3500,16.2162,0.8037,49,2016-10-08T07:43:43.129Z
6.2375,16.2162,0.8037,49,2016-10-08T07:43:13.113Z
6.3500,16.2162,0.8037,49,2016-10-08T07:42:45.078Z
6.2375,16.2162,0.8037,49,2016-10-08T07:42:13.107Z
6.2375,16.2162,0.8037,49,2016-10-08T07:41:43.086Z
6.2375,16.2162,0.8037,49,2016-10-08T07:41:13.079Z
6.1250,16.2162,0.8037,49,2016-10-08T07:40:13.285Z
6.1250,16.2162,0.8037,49,2016-10-08T07:39:44.062Z
6.1250,16.2162,0.8037,49,2016-10-08T07:39:13.328Z
6.0125,16.2162,0.8037,49,2016-10-08T07:38:43.040Z
6.0125,16.2162,0.8037,49,2016-10-08T07:38:14.026Z
6.0125,16.2162,0.8037,49,2016-10-08T07:37:43.152Z
6.1250,16.2162,0.8037,49,2016-10-08T07:37:13.841Z
6.1250,16.2162,0.8037,49,2016-10-08T07:36:43.576Z
6.0125,16.2162,0.8037,49,2016-10-08T07:36:17.790Z
6.1250,16.2162,0.8037,49,2016-10-08T07:35:43.129Z
6.0125,16.2162,0.8037,49,2016-10-08T07:35:14.241Z
6.2375,16.2162,0.8037,49,2016-10-08T07:34:45.052Z
6.2375,16.2162,0.8037,49,2016-10-08T07:34:16.023Z
6.2375,16.2162,0.8037,49,2016-10-08T07:33:43.768Z
6.3500,16.2162,0.8037,49,2016-10-08T07:33:13.162Z
6.4625,16.2162,0.8037,49,2016-10-08T07:32:13.249Z
6.5750,16.2162,0.8037,49,2016-10-08T07:31:46.240Z
6.6875,16.2162,0.8037,49,2016-10-08T07:31:13.584Z
6.6875,16.2162,0.8037,49,2016-10-08T07:30:43.043Z
6.6875,16.2162,0.8037,49,2016-10-08T07:30:13.326Z
6.9125,16.2162,0.8037,49,2016-10-08T07:29:43.071Z
6.9125,16.2162,0.8037,49,2016-10-08T07:29:13.853Z
6.9125,16.2162,0.8037,49,2016-10-08T07:28:43.013Z
7.0250,16.2162,0.8037,49,2016-10-08T07:28:13.329Z
7.1375,16.2162,0.8037,49,2016-10-08T07:27:43.815Z
7.2500,16.2162,0.8037,49,2016-10-08T07:27:13.935Z
7.2500,16.2162,0.8037,49,2016-10-08T07:26:43.107Z
7.3625,16.2162,0.8037,49,2016-10-08T07:26:13.214Z
7.4750,16.2162,0.8037,49,2016-10-08T07:25:43.093Z
7.4750,16.2162,0.8037,49,2016-10-08T07:25:13.233Z
7.5875,16.2162,0.8037,49,2016-10-08T07:24:43.692Z
7.5875,16.2162,0.8037,49,2016-10-08T07:24:13.280Z
7.7000,16.2162,0.8037,49,2016-10-08T07:23:43.062Z
7.8125,16.2162,0.8037,49,2016-10-08T07:23:13.547Z
7.9250,16.2162,0.8037,48,2016-10-08T07:22:13.425Z
8.0375,16.2162,0.8037,48,2016-10-08T07:21:43.158Z
8.0375,16.2162,0.8037,48,2016-10-08T07:21:13.455Z
8.1500,16.2162,0.8037,48,2016-10-08T07:20:43.142Z
8.2625,16.2162,0.8037,48,2016-10-08T07:20:13.285Z
8.2625,16.2162,0.8037,48,2016-10-08T07:19:43.128Z
8.3750,16.2162,0.8037,48,2016-10-08T07:19:13.263Z
8.3750,16.2162,0.8037,48,2016-10-08T07:18:43.190Z
8.6000,16.2162,0.8037,48,2016-10-08T07:18:14.322Z
8.7125,16.2162,0.8037,48,2016-10-08T07:17:45.228Z
